//Used two threads, tried to solve same problem, each in a different thread
//and only one completed properly

[Server@619a5dff]: Startup sequence initiated from main() method
[Server@619a5dff]: Could not load properties from file
[Server@619a5dff]: Using cli/default properties only
[Server@619a5dff]: Initiating startup sequence...
[Server@619a5dff]: Server socket opened successfully in 13 ms.
[Server@619a5dff]: Database [index=0, id=0, db=mem:../database/db, alias=database] opened successfully in 494 ms.
[Server@619a5dff]: Startup sequence completed in 565 ms.
[Server@619a5dff]: 2021-08-15 14:36:03.763 HSQLDB server 2.6.0 is online on port 9001
[Server@619a5dff]: To close normally, connect and execute SHUTDOWN SQL
[Server@619a5dff]: From command line, use [Ctrl]+[C] to abort abruptly
getVariableCount:1629038205089,14,HSQLDB Connection @5945d365
getVariableCount:1629038205154,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205190,14,HSQLDB Connection @5945d365
getVariableCount:1629038205255,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205290,14,HSQLDB Connection @5945d365
getVariableCount:1629038205355,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205390,14,HSQLDB Connection @5945d365
getVariableCount:1629038205455,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205490,14,HSQLDB Connection @5945d365
getVariableCount:1629038205555,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205591,14,HSQLDB Connection @5945d365
getVariableCount:1629038205656,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205691,14,HSQLDB Connection @5945d365
getVariableCount:1629038205756,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205792,14,HSQLDB Connection @5945d365
getVariableCount:1629038205857,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205892,14,HSQLDB Connection @5945d365
getVariableCount:1629038205957,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038205992,14,HSQLDB Connection @5945d365
getVariableCount:1629038206057,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206092,14,HSQLDB Connection @5945d365
getVariableCount:1629038206158,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206193,14,HSQLDB Connection @5945d365
getVariableCount:1629038206258,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206293,14,HSQLDB Connection @5945d365
getVariableCount:1629038206358,17,HSQLDB Connection @563bf2bb
getVariableCount:1629038206393,14,HSQLDB Connection @5945d365
